dataset,method,sample_pct,n_samples,recall,precision,igd,hv_diff,pred_pf_size,true_pf_size,repeat
auto93,Random,5,19,0.15384615384615385,0.0625,0.2185129329833641,0.028373702422145285,32,13,0
auto93,Random,5,19,0.23076923076923078,0.12,0.14289944501512208,0.053858520900321505,25,13,1
auto93,Random,5,19,0.23076923076923078,0.16666666666666666,0.2825020594060185,0.06372889197316674,18,13,2
auto93,Random,5,19,0.3076923076923077,0.26666666666666666,0.294068775188193,0.004248478585371552,15,13,3
auto93,Random,5,19,0.5384615384615384,0.06666666666666667,0.19406776716788052,0.14677307425399025,105,13,4
auto93,Random,5,19,0.0,0.0,0.47115718705588894,0.15287064791330424,1,13,5
auto93,Random,5,19,0.23076923076923078,0.058823529411764705,0.1318414340594422,0.11839053803339528,51,13,6
auto93,Random,5,19,0.07692307692307693,0.07142857142857142,0.13419856839598657,0.0747470101195953,14,13,7
auto93,Random,5,19,0.07692307692307693,0.05263157894736842,0.1703925547491944,0.12308224708732264,19,13,8
auto93,Random,5,19,0.07692307692307693,0.07692307692307693,0.15286209972285392,0.027249536178107586,13,13,9
auto93,Random,5,19,0.46153846153846156,0.16666666666666666,0.1309876440542386,0.10713872497975235,36,13,10
auto93,Random,5,19,0.23076923076923078,0.1,0.14274455293626948,0.09236296210453132,30,13,11
auto93,Random,5,19,0.5384615384615384,0.21875,0.22857151435132234,0.1434691987031034,32,13,12
auto93,Random,5,19,0.07692307692307693,0.16666666666666666,0.3192933829737299,0.19479768786127163,6,13,13
auto93,Random,5,19,0.23076923076923078,0.3,0.1672307570387832,0.05060940220545564,10,13,14
auto93,Random,5,19,0.23076923076923078,0.043478260869565216,0.1573212918463975,0.15946071594607175,69,13,15
auto93,Random,5,19,0.6923076923076923,0.08256880733944955,0.17607291247918105,0.18590930124942154,109,13,16
auto93,Random,5,19,0.0,0.0,0.2860784427337668,0.36112721790560137,35,13,17
auto93,Random,5,19,0.0,0.0,0.34442676079675244,0.04723769730733512,3,13,18
auto93,Random,5,19,0.07692307692307693,0.1111111111111111,0.17646598682043946,0.05296561273944129,9,13,19
