dataset,method,sample_size,sample_pct,dataset_size,recall,precision,igd,hv_diff,pred_pf_size,true_pf_size,repeat
SS-M,Random,50,5.79,864,0.0,0.0,0.003047926194982599,0.0005999999999999868,6,7,19
SS-M,Stratified,50,5.79,864,0.0,0.0,0.002952312536307727,0.0,3,7,0
SS-M,Stratified,50,5.79,864,0.14285714285714285,0.3333333333333333,0.00391606279390305,0.0,3,7,1
SS-M,Stratified,50,5.79,864,0.0,0.0,0.0026505261509587644,0.0002000400080015959,5,7,2
SS-M,Stratified,50,5.79,864,0.0,0.0,0.003969480312927541,9.99999999999978e-05,3,7,3
SS-M,Stratified,50,5.79,864,0.14285714285714285,0.2,0.0022299215727733103,0.0,5,7,4
SS-M,Stratified,50,5.79,864,0.0,0.0,0.0030357738051911263,0.0001000100010000978,5,7,5
SS-M,Stratified,50,5.79,864,0.0,0.0,0.002839655505834681,0.0,7,7,6
SS-M,Stratified,50,5.79,864,0.0,0.0,0.0041477598512342385,0.0,3,7,7
SS-M,Stratified,50,5.79,864,0.0,0.0,0.0030473261127270464,0.0,2,7,8
SS-M,Stratified,50,5.79,864,0.0,0.0,0.0038438388072227834,0.0,6,7,9
SS-M,Stratified,50,5.79,864,0.14285714285714285,0.14285714285714285,0.0036383307749561053,0.0,7,7,10
SS-M,Stratified,50,5.79,864,0.2857142857142857,0.6666666666666666,0.002797470844735784,0.0,3,7,11
SS-M,Stratified,50,5.79,864,0.14285714285714285,0.5,0.0037122851460133577,0.0,2,7,12
SS-M,Stratified,50,5.79,864,0.0,0.0,0.003021643884431712,0.0,3,7,13
SS-M,Stratified,50,5.79,864,0.14285714285714285,0.2,0.002725885253392682,0.0,5,7,14
SS-M,Stratified,50,5.79,864,0.0,0.0,0.006167638127831736,0.0,1,7,15
SS-M,Stratified,50,5.79,864,0.2857142857142857,0.2857142857142857,0.0028824985467848134,0.0,7,7,16
SS-M,Stratified,50,5.79,864,0.14285714285714285,1.0,0.006167638127831736,0.0,1,7,17
SS-M,Stratified,50,5.79,864,0.0,0.0,0.00467250637473354,0.0,2,7,18
SS-M,Stratified,50,5.79,864,0.14285714285714285,0.3333333333333333,0.0034750493463864443,0.0001000100010000978,3,7,19
SS-M,Clustering,50,5.79,864,0.42857142857142855,0.15789473684210525,0.004066731026159888,9.99999999999978e-05,19,7,0
SS-M,Clustering,50,5.79,864,0.0,0.0,0.0034729517323616077,0.0001000100010000978,3,7,1
SS-M,Clustering,50,5.79,864,0.42857142857142855,0.08571428571428572,0.003793022369993085,0.0003999999999999912,35,7,2
SS-M,Clustering,50,5.79,864,0.14285714285714285,0.3333333333333333,0.0036044332850239855,0.0,3,7,3
SS-M,Clustering,50,5.79,864,0.2857142857142857,0.14285714285714285,0.0032651030507814894,0.0,14,7,4
SS-M,Clustering,50,5.79,864,0.14285714285714285,0.07692307692307693,0.002557717300934924,0.0001000100010000978,13,7,5
SS-M,Clustering,50,5.79,864,0.14285714285714285,0.029411764705882353,0.0024410086378577798,0.0,34,7,6
SS-M,Clustering,50,5.79,864,0.0,0.0,0.003227191712480484,0.0,5,7,7
SS-M,Clustering,50,5.79,864,0.0,0.0,0.0033355480770709415,0.0001999999999999956,34,7,8
SS-M,Clustering,50,5.79,864,0.2857142857142857,0.18181818181818182,0.0030123894276623954,0.0,11,7,9
SS-M,Clustering,50,5.79,864,0.14285714285714285,0.3333333333333333,0.003938689205827817,0.0,3,7,10
SS-M,Clustering,50,5.79,864,0.42857142857142855,0.16666666666666666,0.003246803907107025,9.99999999999978e-05,18,7,11
SS-M,Clustering,50,5.79,864,0.2857142857142857,0.046511627906976744,0.0028757510082863163,0.0,43,7,12
SS-M,Clustering,50,5.79,864,0.42857142857142855,0.21428571428571427,0.0036065820457926562,9.99999999999978e-05,14,7,13
SS-M,Clustering,50,5.79,864,0.14285714285714285,0.5,0.00464312552375539,0.0,2,7,14
SS-M,Clustering,50,5.79,864,0.0,0.0,0.002769635788105497,0.0001000100010000978,8,7,15
SS-M,Clustering,50,5.79,864,0.14285714285714285,0.2,0.002868076964535125,9.99999999999978e-05,5,7,16
SS-M,Clustering,50,5.79,864,0.2857142857142857,0.14285714285714285,0.0034107483993662236,0.0001999999999999956,14,7,17
SS-M,Clustering,50,5.79,864,0.2857142857142857,0.4,0.004844140448165205,0.0,5,7,18
SS-M,Clustering,50,5.79,864,0.14285714285714285,0.3333333333333333,0.003583722676492538,0.0,3,7,19
SS-M,Diversity,50,5.79,864,0.0,0.0,0.0020200422651621697,0.0,5,7,0
SS-M,Diversity,50,5.79,864,0.14285714285714285,1.0,0.006167638127831736,0.0,1,7,1
SS-M,Diversity,50,5.79,864,0.0,0.0,0.0039337383250759,0.0,3,7,2
SS-M,Diversity,50,5.79,864,0.14285714285714285,1.0,0.006167638127831736,0.0,1,7,3
SS-M,Diversity,50,5.79,864,0.2857142857142857,0.5,0.0027446049184139724,9.99999999999978e-05,4,7,4
SS-M,Diversity,50,5.79,864,0.14285714285714285,0.5,0.004693789058320554,0.0,2,7,5
SS-M,Diversity,50,5.79,864,0.2857142857142857,0.6666666666666666,0.0036271152209764934,0.0,3,7,6
SS-M,Diversity,50,5.79,864,0.2857142857142857,0.5,0.0026804665208891424,0.0,4,7,7
SS-M,Diversity,50,5.79,864,0.14285714285714285,0.07692307692307693,0.003011777362200139,0.0,13,7,8
SS-M,Diversity,50,5.79,864,0.14285714285714285,0.125,0.003061710698868725,0.0,8,7,9
SS-M,Diversity,50,5.79,864,0.0,0.0,0.0023070301190521504,0.0,10,7,10
SS-M,Diversity,50,5.79,864,0.0,0.0,0.00268971673269553,0.0,5,7,11
SS-M,Diversity,50,5.79,864,0.14285714285714285,1.0,0.006167638127831736,0.0,1,7,12
SS-M,Diversity,50,5.79,864,0.14285714285714285,0.16666666666666666,0.0034151814566925434,0.0,6,7,13
SS-M,Diversity,50,5.79,864,0.14285714285714285,1.0,0.006167638127831736,0.0,1,7,14
