dataset,method,sample_size,recall_mean,recall_median,recall_std,recall_min,recall_max,precision_mean,precision_median,precision_std,precision_min,precision_max,igd_mean,igd_median,igd_std,igd_min,igd_max,hv_diff_mean,hv_diff_median,hv_diff_std,hv_diff_min,hv_diff_max,sample_pct_first,dataset_size_first,pred_pf_size_mean,true_pf_size_first
coc1000,Diversity,100,0.1028,0.0972,0.0196,0.0764,0.1389,0.3836,0.3801,0.0648,0.2895,0.5263,0.2234,0.2229,0.0151,0.1938,0.2525,0.1569,0.1533,0.0302,0.117,0.2255,10.0,1000,38.6,144
coc1000,Diversity,200,0.2323,0.2326,0.0193,0.2014,0.2778,0.5018,0.5041,0.0474,0.4203,0.5932,0.1565,0.1585,0.0113,0.1254,0.1743,0.1073,0.1121,0.0152,0.0759,0.1295,20.0,1000,66.95,144
coc1000,Diversity,250,0.2889,0.2917,0.0178,0.25,0.3264,0.5722,0.5683,0.0604,0.4744,0.6923,0.1336,0.1339,0.0078,0.1215,0.1514,0.0849,0.0858,0.0131,0.0643,0.1053,25.0,1000,73.2,144
coc1000,LHS,50,0.2795,0.2743,0.1127,0.1389,0.5208,0.2313,0.2325,0.0526,0.1302,0.331,0.2908,0.2904,0.0246,0.2529,0.3523,0.2869,0.2858,0.0603,0.1991,0.4618,5.0,1000,184.65,144
coc1000,LHS,100,0.2118,0.2257,0.0629,0.1181,0.375,0.2896,0.2912,0.056,0.1714,0.3684,0.2165,0.2141,0.0158,0.1931,0.2507,0.174,0.1668,0.0393,0.1188,0.2348,10.0,1000,110.0,144
coc1000,LHS,200,0.267,0.2431,0.0793,0.1736,0.4583,0.4199,0.4084,0.0653,0.3209,0.5972,0.1621,0.164,0.0139,0.141,0.1957,0.0972,0.0908,0.024,0.0449,0.1464,20.0,1000,92.55,144
coc1000,LHS,250,0.2997,0.2778,0.0489,0.2361,0.3958,0.4509,0.4557,0.0588,0.3364,0.5616,0.1442,0.1459,0.0094,0.124,0.1592,0.0899,0.0839,0.0192,0.0578,0.1385,25.0,1000,96.9,144
coc1000,Random,50,0.2271,0.2257,0.111,0.0347,0.4167,0.2463,0.2409,0.073,0.1515,0.4091,0.2827,0.2815,0.0228,0.2361,0.3364,0.2711,0.2797,0.0685,0.1249,0.405,5.0,1000,150.15,144
coc1000,Random,100,0.2188,0.2292,0.0772,0.0972,0.3542,0.3144,0.3031,0.0848,0.1858,0.5,0.229,0.2288,0.0155,0.2054,0.2545,0.206,0.2154,0.0504,0.0994,0.3038,10.0,1000,109.05,144
coc1000,Random,200,0.2583,0.2465,0.0611,0.1597,0.3542,0.4333,0.4259,0.0694,0.3026,0.5543,0.1654,0.1655,0.0112,0.1459,0.1849,0.0969,0.0949,0.0268,0.0528,0.1545,20.0,1000,86.4,144
