dataset,method,sample_pct,n_samples,recall,precision,igd,hv_diff,pred_pf_size,true_pf_size,repeat
auto93,NoModel,5,19,0.07692307692307693,0.16666666666666666,0.17721646341392766,0.30574508314412674,6,13,0
auto93,NoModel,5,19,0.07692307692307693,0.5,0.16965472451447874,0.43395656219950796,2,13,1
auto93,NoModel,5,19,0.0,0.0,0.19454197437420231,0.40949344271259736,2,13,2
auto93,NoModel,5,19,0.23076923076923078,1.0,0.1258862624842368,0.35224709323466924,3,13,3
auto93,NoModel,5,19,0.15384615384615385,0.5,0.12557170272433424,0.279715067627668,4,13,4
auto93,NoModel,5,19,0.07692307692307693,0.2,0.2080076738664095,0.32749091515378437,5,13,5
auto93,NoModel,5,19,0.15384615384615385,0.4,0.1864834514296715,0.20661074294815032,5,13,6
auto93,NoModel,5,19,0.15384615384615385,0.4,0.14577011220750682,0.1667740632866802,5,13,7
auto93,NoModel,5,19,0.07692307692307693,0.3333333333333333,0.15259700058247413,0.4127588915920931,3,13,8
auto93,NoModel,5,19,0.07692307692307693,0.5,0.21129575008709367,0.22105549171840444,2,13,9
auto93,NoModel,5,19,0.07692307692307693,0.3333333333333333,0.13977391495269748,0.351235680834315,3,13,10
auto93,NoModel,5,19,0.0,0.0,0.3055324072561597,0.6068737654918904,4,13,11
auto93,NoModel,5,19,0.07692307692307693,0.3333333333333333,0.16135467152570235,0.35247419312179423,3,13,12
auto93,NoModel,5,19,0.0,0.0,0.22481743420355232,0.4321851770137846,3,13,13
auto93,NoModel,5,19,0.07692307692307693,0.5,0.2410524018660039,0.42454586725779003,2,13,14
auto93,NoModel,5,19,0.0,0.0,0.24849933086415954,0.4526620936142691,4,13,15
auto93,NoModel,5,19,0.0,0.0,0.2943653881067085,0.46700328593751533,6,13,16
auto93,NoModel,5,19,0.0,0.0,0.14882434759503982,0.3894365017988531,2,13,17
auto93,NoModel,5,19,0.0,0.0,0.29952340923412935,0.4967609141883067,7,13,18
auto93,NoModel,5,19,0.07692307692307693,0.3333333333333333,0.158537759438015,0.20004230416674965,3,13,19
auto93,NoModel,10,39,0.0,0.0,0.13997570472145326,0.3868722560853041,6,13,0
auto93,NoModel,10,39,0.0,0.0,0.1551498694846836,0.3934401334952895,4,13,1
auto93,NoModel,10,39,0.15384615384615385,0.5,0.16641220620050737,0.35982273638955264,4,13,2
auto93,NoModel,10,39,0.0,0.0,0.19729394251365676,0.2713933699988073,2,13,3
auto93,NoModel,10,39,0.07692307692307693,0.2,0.1297768092250486,0.22252657625227013,5,13,4
auto93,NoModel,10,39,0.15384615384615385,0.6666666666666666,0.19698952618631582,0.05646614696052692,3,13,5
auto93,NoModel,10,39,0.15384615384615385,0.6666666666666666,0.1961621002225541,0.3592989896457626,3,13,6
auto93,NoModel,10,39,0.23076923076923078,0.75,0.1212571546571837,0.336140347295705,4,13,7
auto93,NoModel,10,39,0.07692307692307693,0.5,0.19767371983377807,0.4160236521832744,2,13,8
auto93,NoModel,10,39,0.07692307692307693,0.14285714285714285,0.21984877362875763,0.33289021543187053,7,13,9
auto93,NoModel,10,39,0.07692307692307693,0.25,0.15645829050660948,0.38978420876635295,4,13,10
auto93,NoModel,10,39,0.15384615384615385,0.6666666666666666,0.13340029043627383,0.31497874600624415,3,13,11
auto93,NoModel,10,39,0.07692307692307693,0.2,0.15175284905946262,0.3424956951197437,5,13,12
auto93,NoModel,10,39,0.15384615384615385,0.3333333333333333,0.1644856465323425,0.3367988533182993,6,13,13
auto93,NoModel,10,39,0.0,0.0,0.1977186279737535,0.39198764086188853,5,13,14
auto93,NoModel,10,39,0.0,0.0,0.27491875321916054,0.45637836226217493,7,13,15
auto93,NoModel,10,39,0.07692307692307693,0.125,0.1595407388772,0.326327214582518,8,13,16
auto93,NoModel,10,39,0.07692307692307693,0.5,0.16833702360487976,0.3825719152315463,2,13,17
auto93,NoModel,10,39,0.0,0.0,0.18232638691749917,0.24679152868072846,3,13,18
auto93,NoModel,10,39,0.0,0.0,0.2490160685194789,0.5439637738597125,1,13,19
auto93,NoModel,20,79,0.23076923076923078,0.42857142857142855,0.07738726015390723,0.21988859897468926,7,13,0
auto93,NoModel,20,79,0.07692307692307693,0.1111111111111111,0.130305830320969,0.2627988740843928,9,13,1
auto93,NoModel,20,79,0.15384615384615385,0.5,0.13139415099227536,0.3399523461346495,4,13,2
auto93,NoModel,20,79,0.3076923076923077,0.6666666666666666,0.0888018560610171,0.1699565779762618,6,13,3
auto93,NoModel,20,79,0.15384615384615385,0.4,0.13012952928832575,0.18892333972156436,5,13,4
auto93,NoModel,20,79,0.07692307692307693,0.2,0.20597731692926072,0.391526965500271,5,13,5
auto93,NoModel,20,79,0.15384615384615385,0.5,0.12433282591735664,0.3002060813295028,4,13,6
auto93,NoModel,20,79,0.46153846153846156,0.8571428571428571,0.057056098437273745,0.06010675330703182,7,13,7
auto93,NoModel,20,79,0.3076923076923077,0.6666666666666666,0.08908467815937689,0.17421239202587502,6,13,8
auto93,NoModel,20,79,0.07692307692307693,0.2,0.13320668610674682,0.1780468803814641,5,13,9
auto93,NoModel,20,79,0.15384615384615385,0.3333333333333333,0.09623324857590915,0.209921368674471,6,13,10
auto93,NoModel,20,79,0.23076923076923078,0.75,0.11863810246947709,0.288262584335667,4,13,11
auto93,NoModel,20,79,0.23076923076923078,0.42857142857142855,0.11270526222155941,0.1731379592668691,7,13,12
auto93,NoModel,20,79,0.15384615384615385,0.4,0.11147347444285109,0.2728785054111304,5,13,13
auto93,NoModel,20,79,0.15384615384615385,0.4,0.10881036646762542,0.2292220236734895,5,13,14
auto93,NoModel,20,79,0.07692307692307693,0.2,0.16768841061636128,0.31781708967023653,5,13,15
auto93,NoModel,20,79,0.23076923076923078,0.5,0.1008666612868318,0.17170937281037116,6,13,16
auto93,NoModel,20,79,0.23076923076923078,0.3,0.10425051055484066,0.14958794274387568,10,13,17
auto93,NoModel,20,79,0.15384615384615385,0.3333333333333333,0.12203081926235781,0.29714787607335547,6,13,18
auto93,NoModel,20,79,0.07692307692307693,0.2,0.12594745258318082,0.34033556594270903,5,13,19
auto93,NoModel,30,119,0.23076923076923078,0.3333333333333333,0.08116094600284166,0.16816206988655824,9,13,0
auto93,NoModel,30,119,0.3076923076923077,0.6666666666666666,0.0649654778471571,0.234873731320661,6,13,1
auto93,NoModel,30,119,0.38461538461538464,0.7142857142857143,0.058796030106484404,0.012388024868851256,7,13,2
auto93,NoModel,30,119,0.46153846153846156,0.6666666666666666,0.06682215504838439,0.1255166817314513,9,13,3
auto93,NoModel,30,119,0.38461538461538464,0.625,0.05963325069505457,0.16112046293980417,8,13,4
auto93,NoModel,30,119,0.38461538461538464,0.625,0.08195149656192643,0.24484705585632405,8,13,5
auto93,NoModel,30,119,0.23076923076923078,0.42857142857142855,0.09786151219549312,0.18062875742490087,7,13,6
auto93,NoModel,30,119,0.15384615384615385,0.4,0.0974422233092973,0.25088875733067195,5,13,7
auto93,NoModel,30,119,0.15384615384615385,0.4,0.11512263261637617,0.16810680669228445,5,13,8
auto93,NoModel,30,119,0.38461538461538464,0.7142857142857143,0.07298415576694704,0.1762302737659816,7,13,9
auto93,NoModel,30,119,0.38461538461538464,0.5555555555555556,0.06855970304599478,0.22276904239419673,9,13,10
auto93,NoModel,30,119,0.46153846153846156,0.8571428571428571,0.05442831609147239,0.23116534873638797,7,13,11
auto93,NoModel,30,119,0.38461538461538464,0.8333333333333334,0.13185317675159086,0.12196305310198693,6,13,12
auto93,NoModel,30,119,0.38461538461538464,0.8333333333333334,0.07577949688701073,0.16538699700751272,6,13,13
auto93,NoModel,30,119,0.23076923076923078,0.5,0.10037921690670157,0.21880531307564352,6,13,14
auto93,NoModel,30,119,0.38461538461538464,0.7142857142857143,0.04811819768325158,0.15072982764758844,7,13,15
auto93,NoModel,30,119,0.23076923076923078,0.42857142857142855,0.1024661508154764,0.08530617833875408,7,13,16
auto93,NoModel,30,119,0.3076923076923077,0.5,0.059499169797212696,0.12800096989520818,8,13,17
auto93,NoModel,30,119,0.15384615384615385,0.5,0.1198953164434836,0.30105483821099893,4,13,18
auto93,NoModel,30,119,0.38461538461538464,0.5,0.08338380138734558,0.24355669096564023,10,13,19
auto93,SWAY,5,19,0.15384615384615385,0.4,0.12939771902879765,0.27544464769861793,5,13,0
auto93,SWAY,5,19,0.07692307692307693,0.3333333333333333,0.17797021009675332,0.3992884512967627,3,13,1
auto93,SWAY,5,19,0.23076923076923078,0.75,0.17843863751893613,0.25545113981342155,4,13,2
auto93,SWAY,5,19,0.15384615384615385,0.5,0.18284187003843475,0.25333352704434164,4,13,3
auto93,SWAY,5,19,0.07692307692307693,0.5,0.20357956515552106,0.40233197595478143,2,13,4
auto93,SWAY,5,19,0.15384615384615385,0.4,0.12957821955183146,0.2817448556792573,5,13,5
auto93,SWAY,5,19,0.07692307692307693,0.5,0.20357956515552106,0.3982491492300858,2,13,6
auto93,SWAY,5,19,0.0,0.0,0.2029888962369277,0.4760030410741368,5,13,7
auto93,SWAY,5,19,0.23076923076923078,0.75,0.17843863751893613,0.2512541588207474,4,13,8
auto93,SWAY,5,19,0.15384615384615385,0.5,0.1711959730620909,0.22483350366088742,4,13,9
auto93,SWAY,5,19,0.15384615384615385,0.3333333333333333,0.12939771902879765,0.2637440617501429,6,13,10
auto93,SWAY,5,19,0.15384615384615385,0.5,0.14297843106373212,0.18299411202624846,4,13,11
auto93,SWAY,5,19,0.15384615384615385,0.4,0.1969636586469935,0.41228715354665674,5,13,12
auto93,SWAY,5,19,0.23076923076923078,0.75,0.17843863751893613,0.2522139439008586,4,13,13
auto93,SWAY,5,19,0.07692307692307693,0.3333333333333333,0.20391418106909628,0.1895243327187567,3,13,14
auto93,SWAY,5,19,0.07692307692307693,0.3333333333333333,0.17797021009675332,0.3981279671683007,3,13,15
auto93,SWAY,5,19,0.15384615384615385,0.2857142857142857,0.08532655368553893,0.07903449452415764,7,13,16
auto93,SWAY,5,19,0.23076923076923078,0.75,0.17843863751893613,0.25176525842973324,4,13,17
auto93,SWAY,5,19,0.15384615384615385,0.5,0.1573386144548362,0.25815021775780916,4,13,18
