dataset,method,sample_size,recall_mean,recall_median,recall_std,recall_min,recall_max,precision_mean,precision_median,precision_std,precision_min,precision_max,igd_mean,igd_median,igd_std,igd_min,igd_max,hv_diff_mean,hv_diff_median,hv_diff_std,hv_diff_min,hv_diff_max,sample_pct_first,dataset_size_first,pred_pf_size_mean,true_pf_size_first
SS-M,ActiveLearning,200,0.0929,0.0,0.1333,0.0,0.4286,0.1672,0.0,0.2664,0.0,1.0,0.0032,0.003,0.0007,0.0022,0.005,0.0001,0.0,0.0001,0.0,0.0004,23.15,864,5.7,7
SS-M,ActiveLearning,250,0.1429,0.1429,0.1537,0.0,0.5714,0.2325,0.1909,0.2735,0.0,1.0,0.0033,0.003,0.001,0.002,0.0062,0.0001,0.0001,0.0001,0.0,0.0002,28.94,864,7.0,7
SS-M,Clustering,50,0.2071,0.1429,0.15,0.0,0.4286,0.1672,0.1504,0.1474,0.0,0.5,0.0034,0.0034,0.0006,0.0024,0.0048,0.0001,0.0,0.0001,0.0,0.0004,5.79,864,14.3,7
SS-M,Clustering,100,0.1929,0.1429,0.1065,0.0,0.4286,0.3695,0.3333,0.2807,0.0,1.0,0.0032,0.003,0.0008,0.0023,0.0053,0.0001,0.0,0.0001,0.0,0.0003,11.57,864,5.1,7
SS-M,Clustering,200,0.2929,0.2857,0.157,0.0,0.5714,0.3779,0.3429,0.2648,0.0,0.8,0.0026,0.0026,0.0007,0.0015,0.0043,0.0001,0.0,0.0001,0.0,0.0003,23.15,864,7.75,7
SS-M,Clustering,250,0.3857,0.4286,0.174,0.0,0.7143,0.4291,0.4038,0.2872,0.0,1.0,0.0023,0.0022,0.0008,0.0006,0.0041,0.0,0.0,0.0001,0.0,0.0002,28.94,864,8.05,7
SS-M,Diversity,50,0.1571,0.1429,0.1026,0.0,0.2857,0.452,0.5,0.3858,0.0,1.0,0.004,0.0034,0.0015,0.002,0.0062,0.0,0.0,0.0,0.0,0.0001,5.79,864,4.9,7
SS-M,Diversity,100,0.2,0.1429,0.1421,0.0,0.4286,0.4261,0.5,0.3157,0.0,1.0,0.0034,0.0034,0.0009,0.0018,0.0053,0.0,0.0,0.0001,0.0,0.0002,11.57,864,4.2,7
SS-M,Diversity,200,0.2429,0.1429,0.1678,0.0,0.5714,0.4715,0.3667,0.3085,0.0,1.0,0.0035,0.003,0.0012,0.0021,0.0062,0.0,0.0,0.0001,0.0,0.0002,23.15,864,4.55,7
SS-M,Diversity,250,0.3786,0.4286,0.1689,0.1429,0.7143,0.4021,0.3333,0.2202,0.1429,0.75,0.0027,0.0023,0.0008,0.0018,0.0044,0.0,0.0,0.0001,0.0,0.0002,28.94,864,7.6,7
SS-M,LHS,50,0.1571,0.1429,0.1303,0.0,0.4286,0.2774,0.1825,0.3051,0.0,1.0,0.0039,0.0034,0.0012,0.0024,0.0062,0.0001,0.0,0.0001,0.0,0.0003,5.79,864,6.45,7
SS-M,LHS,100,0.1929,0.1429,0.1161,0.0,0.4286,0.3348,0.25,0.2971,0.0,1.0,0.0033,0.003,0.001,0.0019,0.0062,0.0001,0.0001,0.0001,0.0,0.0003,11.57,864,5.2,7
SS-M,LHS,200,0.4071,0.4286,0.1624,0.1429,0.7143,0.5734,0.5,0.2891,0.1111,1.0,0.0027,0.0024,0.001,0.001,0.0044,0.0,0.0,0.0,0.0,0.0001,23.15,864,6.15,7
SS-M,LHS,250,0.3929,0.3571,0.1663,0.1429,0.8571,0.4738,0.4451,0.2213,0.0833,1.0,0.0026,0.0024,0.0009,0.0011,0.0045,0.0,0.0,0.0001,0.0,0.0001,28.94,864,6.8,7
SS-M,Random,50,0.0786,0.0,0.1085,0.0,0.2857,0.1628,0.0,0.3131,0.0,1.0,0.0036,0.0037,0.0009,0.0021,0.0062,0.0001,0.0001,0.0001,0.0,0.0006,5.79,864,5.65,7
SS-M,Random,100,0.2286,0.2143,0.1343,0.0,0.4286,0.4006,0.2857,0.3083,0.0,1.0,0.0036,0.0035,0.0011,0.0022,0.0062,0.0001,0.0,0.0001,0.0,0.0002,11.57,864,5.6,7
SS-M,Random,200,0.25,0.2857,0.1726,0.0,0.5714,0.3296,0.275,0.2816,0.0,1.0,0.0028,0.0027,0.0005,0.0021,0.0038,0.0001,0.0,0.0001,0.0,0.0005,23.15,864,6.5,7
SS-M,Random,250,0.3714,0.3571,0.2194,0.1429,0.8571,0.4267,0.2967,0.3341,0.1111,1.0,0.0025,0.0024,0.001,0.0006,0.0049,0.0001,0.0,0.0001,0.0,0.0002,28.94,864,7.4,7
SS-M,Sobol,50,0.1071,0.0,0.1663,0.0,0.5714,0.2061,0.0,0.3281,0.0,1.0,0.0039,0.0037,0.001,0.0027,0.0062,0.0,0.0,0.0001,0.0,0.0003,5.79,864,4.8,7
